BAFU name;BAFU category;Ecoinvent name;Ecoinvent category
(Aminooxy)(hydroxy)sulfane dioxide;('soil', 'industrial');;
1-Butanol;('water', 'surface water');Butanol;
1-Butanol;('air', 'non-urban air or from high stacks');Butanol;
1-Butanol;('air', 'urban air close to ground');Butanol;
1-Butanol;('air',);Butanol;
1-Methyl-2-pyrrolidinone;('air',);N-methyl-2-pyrrolidone;('air',)
1-Propanol;('water', 'surface water');Propanol;
1-Propanol;('air', 'urban air close to ground');Propanol;
1-Propanol;('air',);Propanol;
2-Butene, 2-methyl-;('water', 'surface water');2-Methyl-2-butene;
2-Butene, 2-methyl-;('air', 'urban air close to ground');2-Methyl-2-butene;
2-Butene, 2-methyl-;('air',);2-Methyl-2-butene;
2-Methyl-4-chlorophenoxyacetic acid;('soil', 'agricultural');4-Chlorophenoxyacetic acid;('soil', 'agricultural')
4,4'-Biphenol;('air',);Phenol;('air',)
Acetochlor;('air',);;
Acetochlor;('water', 'surface water');;
Acetylene, dichloro-;('air', 'urban air close to ground');Acetylene;('air', 'urban air close to ground')
Acetylene, dichloro-;('air',);Acetylene;('air', 'low population density, long-term')
Acidity, unspecified;('air',);Aldehydes, unspecified;('air',)
Acidity, unspecified;('soil', 'industrial');Oils, unspecified;('soil', 'industrial')
Air;('natural resource', 'in air');;
Alachlor;('water', 'surface water');;
Aluminium;('water', 'ground-');Aluminium III;
Aluminium;('air', 'low population density, long-term');Aluminium III;
Aluminium;('soil', 'agricultural');Aluminium III;
Aluminium;('soil', 'industrial');Aluminium III;
Aluminium;('water', 'ocean');Aluminium III;
Aluminium;('water', 'surface water');Aluminium III;
Aluminium;('air', 'non-urban air or from high stacks');Aluminium III;
Aluminium;('soil',);Aluminium III;
Aluminium;('air', 'urban air close to ground');Aluminium III;
Aluminium;('water', 'ground-, long-term');Aluminium III;
Aluminium;('air',);Aluminium III;
Aluminium;('water',);Aluminium III;
Aluminium, resource correction;('resources',);Aluminium;('natural resource', 'in ground')
Aluminium, resource correction;('natural resource', 'in ground');Aluminium;
Ammonium, ion;('water',);Ammonium;
Ammonium, ion;('water', 'ground-, long-term');Ammonium;
Ammonium, ion;('water', 'ground-');Ammonium;
Ammonium, ion;('water', 'surface water');Ammonium;
Ammonium, ion;('water', 'ocean');Ammonium;
Anthracene;('air', 'urban air close to ground');;('air',)
Antimony;('air', 'non-urban air or from high stacks');Antimony ion;
Antimony;('water',);Antimony ion;
Antimony;('water', 'ground-, long-term');Antimony ion;
Antimony;('water', 'ground-');Antimony ion;
Antimony;('air',);Antimony ion;
Antimony;('soil', 'industrial');Antimony ion;
Antimony;('air', 'low population density, long-term');Antimony ion;
Antimony;('water', 'surface water');Antimony ion;
Antimony;('soil', 'agricultural');Antimony ion;
Antimony;('soil',);Antimony ion;
Antimony;('air', 'urban air close to ground');Antimony ion;
AOX, Adsorbable Organic Halogen as Cl;('water', 'ocean');AOX, Adsorbable Organic Halides;('water', 'ocean')
AOX, Adsorbable Organic Halogen as Cl;('water', 'surface water');AOX, Adsorbable Organic Halides;('water', 'surface water')
AOX, Adsorbable Organic Halogen as Cl;('water',);AOX, Adsorbable Organic Halides;('water', 'ground-, long-term')
Argon;('air',);Argon;('air',)
Arsenic;('air', 'low population density, long-term');Arsenic ion;
Arsenic;('soil', 'agricultural');Arsenic ion;
Arsenic;('soil',);Arsenic ion;
Arsenic;('air', 'urban air close to ground');Arsenic ion;
Arsenic;('water', 'ocean');Arsenic ion;
Arsenic;('water', 'surface water');Arsenic ion;
Arsenic;('air', 'non-urban air or from high stacks');Arsenic ion;
Arsenic;('water', 'ground-, long-term');Arsenic ion;
Arsenic;('air',);Arsenic ion;
Arsenic;('water',);Arsenic ion;
Arsenic;('soil', 'industrial');Arsenic ion;
Arsenic;('water', 'ground-');Arsenic ion;
Arsenic trioxide;('air',);Arsenic ion;('air', 'low population density, long-term')
Arsenic V;('soil', 'industrial');Arsenic ion;('soil', 'industrial')
Arsenic, ion;('air',);Arsenic ion;
Atrazine;('air',);;
Azadirachtin A+B;('soil', 'agricultural');Azadirachtin;('soil', 'agricultural')
Barite;('natural resource', 'in ground');Laterite;('natural resource', 'in ground')
Barium;('air', 'urban air close to ground');Barium II;
Barium;('water', 'ground-, long-term');Barium II;
Barium;('air',);Barium II;
Barium;('water',);Barium II;
Barium;('soil', 'industrial');Barium II;
Barium;('water', 'ground-');Barium II;
Barium;('air', 'low population density, long-term');Barium II;
Barium;('soil', 'agricultural');Barium II;
Barium;('soil',);Barium II;
Barium;('water', 'ocean');Barium II;
Barium;('water', 'surface water');Barium II;
Barium;('air', 'non-urban air or from high stacks');Barium II;
Basalt;('natural resource', 'biotic');Basalt;('natural resource', 'in ground')
Basalt;('natural resource', 'in air');Basalt;('natural resource', 'in ground')
Bauxite;('natural resource', 'in ground');Ulexite;('natural resource', 'in ground')
Benomyl;('air',);;
Benomyl;('water', 'surface water');;
Benzene (as BTEX);('water',);Benzene;('water', 'ground-')
Benzene, 1-methyl-2-nitro-;('air', 'urban air close to ground');Benzene;('air', 'urban air close to ground')
Benzene, 1,2-dichloro-;('air', 'urban air close to ground');o-Dichlorobenzene;('air', 'urban air close to ground')
Benzene, 1,2-dichloro-;('water', 'surface water');o-Dichlorobenzene;('water', 'surface water')
Benzene, 1,2-dichloro-;('water',);o-Dichlorobenzene;('water', 'ground-, long-term')
Benzene, 1,2,4-trimethyl-;('air',);2,2,4-Trimethylpentane;('air',)
Benzene, chloro-;('air',);Benzene;('air', 'non-urban air or from high stacks')
Benzene, dichloro-;('air', 'urban air close to ground');o-Dichlorobenzene;('air', 'urban air close to ground')
Benzene, hexachloro-;('water', 'surface water');Hexachlorobenzene;('water', 'surface water')
Benzene, pentachloro-;('water', 'surface water');Ethyl benzene;('water', 'surface water')
Benzene, pentachloronitro-;('soil', 'agricultural');Quintozene;('soil', 'agricultural')
Benzo(a)anthracene;('water', 'ocean');Benzo(k)fluoranthene;('water', 'ocean')
Benzo(a)anthracene;('air',);Benz(a)anthracene;('air',)
Benzo(a)anthracene;('water', 'surface water');Benz(a)anthracene;('water', 'surface water')
Benzo(g,h,i)perylene;('air',);Benzo(ghi)perylene;('air', 'non-urban air or from high stacks')
Beryllium;('air', 'low population density, long-term');Beryllium II;
Beryllium;('water', 'surface water');Beryllium II;
Beryllium;('air', 'urban air close to ground');Beryllium II;
Beryllium;('water', 'ocean');Beryllium II;
Beryllium;('air', 'non-urban air or from high stacks');Beryllium II;
Beryllium;('water',);Beryllium II;
Beryllium;('water', 'ground-, long-term');Beryllium II;
Beryllium;('air',);Beryllium II;
Beryllium;('soil', 'industrial');Beryllium II;
Beryllium;('water', 'ground-');Beryllium II;
Biphenyl;('air',);;
Black carbon;('air',);Carbon;('air', 'urban air close to ground')
Bromide;('soil', 'industrial');Bromine;('soil', 'industrial')
Butadiene, hexachloro-;('water', 'surface water');Chlorinated solvents, unspecified;('water', 'surface water')
Butadiene, hexachloro-;('water',);Chlorinated solvents, unspecified;('water',)
Butane, perfluorocyclo-, PFC-318;('air', 'urban air close to ground');Perfluoropentane;('air',)
Cadmium;('water', 'ground-, long-term');Cadmium II;
Cadmium;('water', 'ground-');Cadmium II;
Cadmium;('air',);Cadmium II;
Cadmium;('soil', 'industrial');Cadmium II;
Cadmium;('air', 'lower stratosphere + upper troposphere');Cadmium II;
Cadmium;('air', 'low population density, long-term');Cadmium II;
Cadmium;('water', 'surface water');Cadmium II;
Cadmium;('soil', 'agricultural');Cadmium II;
Cadmium;('soil',);Cadmium II;
Cadmium;('air', 'urban air close to ground');Cadmium II;
Cadmium;('water', 'ocean');Cadmium II;
Cadmium;('air', 'non-urban air or from high stacks');Cadmium II;
Cadmium;('water',);Cadmium II;
Calcium;('water', 'surface water');Calcium II;
Calcium;('water', 'ocean');Calcium II;
Calcium;('water',);Calcium II;
